Subject ID,Age,Height [cm],Dominant Hand,Gender,Dataset (Date)
P36,27,182,Right Hand,Male,1 (Dec 2017) +1
P37,27,176,Right Hand,Male,1 (Dec 2017) +1
P38,28,182,Right Hand,Male,1 (Dec 2017) +1
P39,23,182,Right Hand,Male,1 (Dec 2017) +1
P40,22,183,Right Hand,Male,1 (Dec 2017) +1
P41,23,185,n/a,Male,1 (Dec 2017) +1
P42,22,180,Right Hand,Male,1 (Dec 2017) +1
P43,25,181,Right Hand,Male,1 (Dec 2017) +1
P44,27,167,Right Hand,Male,1 (Dec 2017) +1
P45,25,173,Right Hand,Male,1 (Dec 2017) +1
P46,31,167,Right Hand,Male,1 (Dec 2017) +1
P47,27,180,Right Hand,Male,1 (Dec 2017) +1
P48,34,172,Right Hand,Male,1 (Dec 2017) +1
P50,24,182,Right Hand,Male,1 (Dec 2017) +1
P51,26,178,Right Hand,Male,1 (Dec 2017) +1
P52,26,170,Right Hand,Male,1 (Dec 2017) +1
P53,21,180,n/a,Male,1 (Dec 2017) +1
P54,21,180,Right Hand,Male,1 (Dec 2017) +1
P55,23,188,Right Hand,Male,1 (Dec 2017) +1
P56,32,170,Right Hand,Male,1 (Dec 2017) +1
P03,23,180,Right Hand,Male,2 (Mar 2017) +1
P10,23,182,Right Hand,Male,2 (Mar 2017) +1
P11,23,182,Right Hand,Male,2 (Mar 2017) +1
P12,31,170,Right Hand,Male,2 (Mar 2017) +1
P14,n/a,n/a,n/a,Female,3 (Jun 2017) +1
P28,27,180,Left Hand,Male,3 (Jun 2017) +1
P29,27,176,Right Hand,Male,3 (Jun 2017) +1
P30,23,180,Right Hand,Male,3 (Jun 2017) +1
P31,23,149,Right Hand,Female,3 (Jun 2017) +1
P32,26,173,Right Hand,Male,3 (Jun 2017) +1
P33,24,173,Right Hand,Male,3 (Jun 2017) +1
P34,n/a,176,Left Hand,Male,3 (Jun 2017) +1
P35,36,175,Right Hand,Male,3 (Jun 2017) +1
P57,32,170,Right Hand,Male,4 (Jul 2018) +1
P58,25,168,Right Hand,Female,4 (Jul 2018) +1
P59,32,168,Left Hand,Male,4 (Jul 2018) +1
P60,25,170,Right Hand,Male,4 (Jul 2018) +1
P61,27,173,Right Hand,Male,4 (Jul 2018) +1
P62,26,173,Right Hand,Male,4 (Jul 2018) +1
P63,27,178,Right Hand,Male,4 (Jul 2018) +1
P64,28,177,Right Hand,Male,4 (Jul 2018) +1
P65,23,180,Right Hand,Male,4 (Jul 2018) +1
P66,26,180,Right Hand,Male,4 (Jul 2018) +1
P67,27,165,Right Hand,Male,4 (Jul 2018) +1
P68,25,180,Right Hand,Male,4 (Jul 2018) +1
P69,36,182,Right Hand,Male,4 (Jul 2018) +1
P70,26,180,Right Hand,Male,4 (Jul 2018) +1
P71,24,178,Right Hand,Male,4 (Jul 2018) +1
P72,28,168,Right Hand,Male,4 (Jul 2018) +1
P01,25,180,Right Hand,Male,5 (Feb 2019) +1
P02,37,182,Right Hand,Male,5 (Feb 2019) +1
P03,32,183,Right Hand,Male,5 (Feb 2019) +1
P04,36,170,Right Hand,Male,5 (Feb 2019) +1
P05,31,170,Right Hand,Male,5 (Feb 2019) +1
P06,44,177,Right Hand,Male,5 (Feb 2019) +1
P07,34,165,Right Hand,Female,5 (Feb 2019) +1
P08,33,170,Right Hand,Male,5 (Feb 2019) +3
P09,30,167,Right Hand,Male,5 (Feb 2019) +1
P10,27,173,Right Hand,Male,5 (Feb 2019) +1
P11,25,161,Right Hand,Female,5 (Feb 2019) +1
P12,25,182,Left Hand,Male,5 (Feb 2019) +1
P13,31,179,Right Hand,Male,5 (Feb 2019) +1
P14,32,168,Right Hand,Male,5 (Feb 2019) +1
P15,27,181,Right Hand,Male,5 (Feb 2019) +1
P16,25,180,Right Hand,Male,5 (Feb 2019) +1
P17,25,180,Right Hand,Male,5 (Feb 2019) +1
P18,65,164.5,Left Hand,Male,6 (Feb 2019) +2
P19,82,170.6,Right Hand,Male,6 (Feb 2019) +2
P20,78,170.6,Right Hand,Male,6 (Feb 2019) +2
P21,66,152.4,Right Hand,Male,6 (Feb 2019) +2
P22,33,161.5,Right Hand,Female,6 (Feb 2019) +2
P23,50,155.5,Right Hand,Male,6 (Feb 2019) +2
P24,56,152.4,Right Hand,Male,6 (Feb 2019) +2
P25,25,155.4,Right Hand,Female,6 (Feb 2019) +2
P26,88,n/a,Right Hand,Male,6 (Feb 2019) +2
P27,63,176.7,Right Hand,Male,6 (Feb 2019) +2
P28,79,176.7,Left Hand,Male,6 (Feb 2019) +2
P29,68,n/a,Right Hand,Female,6 (Feb 2019) +2
P30,65,178.3,Right Hand,Male,6 (Feb 2019) +2
P31,24,n/a,Right Hand,Male,6 (Feb 2019) +2
P32,84,n/a,Right Hand,Male,6 (Feb 2019) +2
P33,79,n/a,Right Hand,Female,6 (Feb 2019) +1
P34,60,n/a,Left Hand,Female,6 (Feb 2019) +1
P35,64,n/a,Right Hand,Female,6 (Feb 2019) +1
P36,70,n/a,Right Hand,Female,6 (Feb 2019) +1
P37,75,n/a,Right Hand,Female,7 (Mar 2019) +2
P38,74,n/a,Right Hand,Female,7 (Mar 2019) +2
P39,52,n/a,Left Hand,Male,7 (Mar 2019) +2
P40,48,n/a,Right Hand,Female,7 (Mar 2019) +2
P41,84,n/a,Right Hand,Female,7 (Mar 2019) +2
P42,85,n/a,Right Hand,Male,7 (Mar 2019) +2
P43,67,n/a,Right Hand,Male,7 (Mar 2019) +2
P44,45,n/a,Right Hand,Female,7 (Mar 2019) +2
P45,78,n/a,Right Hand,Female,7 (Mar 2019) +2
P46,67,n/a,Right Hand,Female,7 (Mar 2019) +2
P47,98,n/a,Right Hand,Female,7 (Mar 2019) +2
P48,47,n/a,Right Hand,Female,7 (Mar 2019) +2
P49,57,n/a,Right Hand,Male,7 (Mar 2019) +2
P50,71,n/a,Right Hand,Female,7 (Mar 2019) +1
P51,50,n/a,Right Hand,Female,7 (Mar 2019) +1
P52,49,n/a,Right Hand,Female,7 (Mar 2019) +1
P53,84,n/a,Right Hand,Male,7 (Mar 2019) +1
P54,69,n/a,Right Hand,Female,7 (Mar 2019) +1
P55,57,n/a,Right Hand,Female,7 (Mar 2019) +1
P56,25,n/a,Right Hand,Female,7 (Mar 2019) +1
